ID_CLAS;ID_SUB_GRU;NOME_CLA
1;1;LIVRO DE ATA  LIVRO CAIXA
2;1;AGENDAS E LIVRO DE PROTOCOLO
3;2;GRAMPOS E CLIPS
4;2;ALFINETES E PERCEVEJOS
5;3;ALMOFADA PARA CARIMBO
8;3;CARIMBO AUTOMÁTICO
9;3;CARIMBO DE MADEIRA
10;3;TINTA PARA CARIMBO
11;4;CANETA ESFEROGRÁFICA
12;4;LÁPIS GRAFITE E LAPISEIRAS
13;4;BORRACHAS E TINTAS CORRETIVA
14;4;CANETAS ATÔMICA
15;4;GIZ DE CERA
16;4;GIZ DE CAL
17;4;APAGADOR
18;5;PORTA DISQUETES
19;5;PORTA CD
20;5;BANDEJA PARA ORGANIZAR PAPÉIS
21;5;PORTA CANETAS E LÁPIS
22;6;PAPEL OFÍCIO
23;6;BOBINA PARA MÁQUINAS
24;6;ETIQUETAS PARA ENDEREÇAMENTO
25;6;IMPRESSOS E FORMULÁRIOS EM GERAL
26;6;BLOCOS EM GERAL
27;6;TRANSPARÊNCIA
28;6;STÊNCIL E PAPEL CARBONO
29;6;CARTOLINAS E OUTROS
30;7;FITA CREPE
31;7;FITA TRANSPARENTE
32;8;COLA LÍQUIDA
33;8;COLA QUENTE
34;9;PASTA CLASSIFICADOR
35;9;PASTA A-Z
36;9;GUIA PAR ARQUIVO
37;9;ARQUIVO POLIONDO
38;6;ENVELOPES
39;10;GRAMPEADOR, EXTRATOR E PERFURADOR
40;10;ESTILETES E LÂMINAS
42;10;PINÇAS
43;10;TESOURAS
44;11;RÉGUAS DE MADEIRA
45;11;RÉGUA DE ACRÍLICO
46;12;CARTUCHO DE TINTA DE IMPRESSORA DESKJET
47;12;CARTUCHO DE TINTA DE IMPRESSORA LASER
48;12;RECARGA DE CARTUCHO DE IMPRESSORA DESKJE
49;12;RECARGA DE TINTA DE IMPRESSORA LASER
50;12;CARTUCHO PARA FOTOCOPIADORA
51;12;RECARGA DE TINTA PARA FOTOCOPIADORA
52;12;FITA PARA IMPRESSORA DE IMPACTO
53;13;CD GRAVÁVEL
54;13;CD REGRAVÁVEL
55;13;DVD GRAVÁVEL E REGRAVÁVEL
57;13;DISQUETE 3/½ 144 MB
58;14;PLACA MÃE
59;14;PROCESSADOR
60;14;PLACA DE REDE
61;14;MEMÓRIA
62;14;FONTE DE ENERGIA
63;14;BATERIA
64;15;TECLADO
65;15;MOUSE
66;15;HD
67;15;LEITOR DE CÓDIGO DE BARRAS
70;15;GABINETE
71;16;VASSOURA
75;17;RODO DE MADEIRA
76;17;RODO DE PLÁSTICO
77;17;PÁ DE LIXO
78;18;SABÃO EM PÓ
79;18;SABÃO EM BARRA
80;18;SABONETE EM BARRA
81;18;SABONETE LÍQUIDO
82;20;BALDE
83;20;CESTO PARA LIXO
84;21;PANO DE CHÃO
85;21;FLANELA
86;21;PANO DE COPA
87;19;LUSTRA MÓVEIS
88;19;ÁLCOOL
89;16;ESPONJA DUPLA FACE
91;16;ESPONJA DE AÇO
92;19;CERA
93;19;ÁGUA SANITÁRIA
94;19;DESODORIZADOR DE AMBIENTE
95;19;DESODOR DE VASO SANITÁRIO
96;22;PAPEL HIGIÊNICO
97;22;PAPEL TOALHA
98;22;SACO PARA LIXO
99;23;GASES INDUSTRIAL
100;10;BORRACHA ELÁSTICA
101;24;COPO DESCARTÁVEL
102;25;GUARDANAPO
103;15;MOUSE PAD
104;10;CALCULADORA
105;8;COLA BASTÃO
106;9;PASTA SUSPENSA
107;27;FEIJÃO
108;27;ARROZ
109;18;DETERGENTE
110;28;MARCARRÃO
111;29;SODA CÁUSTICA
112;30;FÓSFORO
113;31;PANOS
114;32;ÁCIDOS
115;33;LUVAS
116;34;MÁSCARA E ÓCULOS
117;10;CORDÕES
119;2;COLCHETES
120;7;FITA ADESIVA
121;49;CHIP EM GERAL
125;38;TINTAS
126;38;THINNER
127;39;DOCES E SALGADOS
128;39;BEBIDAS
129;39;ARRANJOS
130;40;LONAS EM GERAL
131;41;PEÇAS PARA IMPRESSORAS
133;42;CAMISAS EM GERAL
134;43;TECIDOS EM GERAL
135;44;AVIAMENTOS EM GERAL
136;12;TONER
137;45;LEGUMES E TUBÉRCULOS
138;45;FRUTAS
139;45;HORTALIÇAS
140;46;BOLAS EM GERAL
141;46;BOMBA
142;46;APITO
143;47;CARNES EM GERAL
144;48;PLACAS ADESIVAS
145;47;OVOS
146;25;GARRAFAS TÉRMICAS
147;51;GARRAFAS TÉRMICAS
148;52;MATERIAL DIDÁTICO
149;53;CADEADOS EM GERAL
150;54;ILUMINAÇÃO
151;55;CARTÕES,PANFLETOS, CARTAZES PARA FESTAS
152;56;ÁGUA MINERAL EM GERAL
153;54;FIOS E CABOS
154;57;AUTOPEÇAS
155;57;MOTOPEÇAS
156;58;COMBUSTÍVEIS
157;58;LUBRIFICANTES
158;10;FITA PARA MAQUINA
159;15;CABOS PARA COMPUTADOR
160;10;PLÁSTICOS EM GERAL
161;59;BLOQUEADOR SOLAR
162;60;REGISTROS EM GERAL
163;38;FECHADURAS E DOBRADIÇAS GERAL
164;54;DISJUNTORES
165;38;COLAS PARA BENS IMÓVEIS
166;38;LIXAS, TRINCHAS E SERRAS EM GERAL
167;60;SIFÕES, TUBOS, CANOS E CURVAS
168;14;FAX MODEM
169;61;REFEIÇÕES EM GERAL
170;62;FARDAMENTO
171;62;PROTEÇÃO INDIVIDUAL
172;63;BALAS, PIRULITOS E PIPOCAS EM GERAL
173;64;FERRAGENS
174;64;FERRAMENTAS
175;38;MADEIRA
176;54;ELETRODOS
178;54;MANGUEIRAS E RABICHOS
179;54;ABRACADEIRAS E BRAQUETE
180;54;SOLDA
181;66;PRODUTOS BENEFICIADOS
182;66;PRODUTOS EM CONSERVA
183;38;PARAFUSOS, PREGOS E ARRUELAS
184;54;INTERRUPTORES
185;60;ADESIVOS E FITAS
