ID_MOVI;ID_PRO;ID_SEC;ID_REQ;ID_NOTA;PRE_UNIT;QTD_PRO;SALDO;EST_ANT;TIPO_MOV;MES_MOV;ANO_MOV;DATA_MOV;ID_SET
15221;86;1;;1231;3;7;7;0;0;12;2009;31/12/2009;
15222;2573;3;;1232;1,35;179,82;179,82;0;0;12;2009;31/12/2009;
15223;2575;3;;1232;1,35;99,9;99,9;0;0;12;2009;31/12/2009;
15224;4069;3;;1232;1,8;50;50;0;0;12;2009;31/12/2009;
15225;4134;3;;1232;2,85;10;10;0;0;12;2009;31/12/2009;
15226;4381;3;;1232;1,95;60;60;0;0;12;2009;31/12/2009;
15227;4382;3;;1232;1,94;132;132;0;0;12;2009;31/12/2009;
15228;4590;3;;1232;1,22;80;80;0;0;12;2009;31/12/2009;
15229;4660;3;;1232;6,49;194;194;0;0;12;2009;31/12/2009;
15230;4663;3;;1232;1,45;140;140;0;0;12;2009;31/12/2009;
15231;4667;3;;1232;1,61;180;180;0;0;12;2009;31/12/2009;
15232;4671;3;;1232;1,5;40;40;0;0;12;2009;31/12/2009;
15233;4672;3;;1232;10,2;35;35;0;0;12;2009;31/12/2009;
15234;4687;3;;1232;0,65;16;16;0;0;12;2009;31/12/2009;
15235;4697;3;;1232;1,38;220;220;0;0;12;2009;31/12/2009;
15236;4815;3;;1232;1,28;180;180;0;0;12;2009;31/12/2009;
15237;4818;3;;1232;0,98;40;40;0;0;12;2009;31/12/2009;
15238;4819;3;;1232;5,16;240;240;0;0;12;2009;31/12/2009;
15239;4820;3;;1232;2,13;100;100;0;0;12;2009;31/12/2009;
15240;2573;4;;1233;1,35;129,87;129,87;0;0;12;2009;31/12/2009;
15241;2574;4;;1233;1,35;199,8;199,8;0;0;12;2009;31/12/2009;
15242;2575;4;;1233;1,35;499,5;499,5;0;0;12;2009;31/12/2009;
15243;2587;4;;1233;3,4973;89,91;89,91;0;0;12;2009;31/12/2009;
15244;3037;4;;1233;140;8,991;8,991;0;0;12;2009;31/12/2009;
15245;4662;4;;1233;6,85;20;20;0;0;12;2009;31/12/2009;
15246;5521;4;;1233;159;15;15;0;0;12;2009;31/12/2009;
15247;5522;6;1173;;7,5;15;0;15;-1;1;2010;21/01/2010;7
15248;5523;6;;1235;15,4;15;15;0;0;1;2010;21/01/2010;
15249;5523;6;1174;;15,4;15;0;15;-1;1;2010;21/01/2010;7
15250;5532;4;;1236;89;1;1;0;0;1;2010;26/01/2010;
15251;5533;4;;1236;8;1;1;0;0;1;2010;26/01/2010;
15252;5532;4;1175;;89;1;0;1;-1;1;2010;26/01/2010;5
15253;5533;4;1175;;8;1;0;1;-1;1;2010;26/01/2010;5
15254;5526;3;;1237;22,18;10;10;0;0;1;2010;28/01/2010;
15255;5524;3;;1237;8,8;20;20;0;0;1;2010;28/01/2010;
15256;5527;3;;1237;2,6;20;20;0;0;1;2010;28/01/2010;
15257;5528;3;;1237;3,23;3;3;0;0;1;2010;28/01/2010;
15258;5529;3;;1237;82,9;1;1;0;0;1;2010;28/01/2010;
15259;5530;3;;1237;55,9;1;1;0;0;1;2010;28/01/2010;
15260;5525;3;;1237;1,51;20;20;0;0;1;2010;28/01/2010;
15261;5531;3;;1237;1,29;25;25;0;0;1;2010;28/01/2010;
15262;5526;3;1176;;22,18;10;0;10;-1;1;2010;28/01/2010;4
15263;5524;3;1176;;8,8;20;0;20;-1;1;2010;28/01/2010;4
15264;5527;3;1176;;2,6;20;0;20;-1;1;2010;28/01/2010;4
15265;5528;3;1176;;3,23;3;0;3;-1;1;2010;28/01/2010;4
15266;5529;3;1176;;82,9;1;0;1;-1;1;2010;28/01/2010;4
15267;5530;3;1176;;55,9;1;0;1;-1;1;2010;28/01/2010;4
15268;5525;3;1176;;1,51;20;0;20;-1;1;2010;28/01/2010;4
15269;5531;3;1176;;1,29;25;0;25;-1;1;2010;28/01/2010;4
15270;86;1;1177;;4,5;7;0;7;-1;1;2010;12/01/2010;1
15271;2573;4;1178;;1,35;0,87;129;129,87;-1;1;2010;04/01/2010;6
15272;2574;4;1179;;1,35;0,8;199;199,8;-1;1;2010;04/01/2010;6
15273;2575;4;1179;;1,35;0,5;499;499,5;-1;1;2010;04/01/2010;6
15274;2587;4;1179;;3,5;0,91;89;89,91;-1;1;2010;04/01/2010;6
15275;3037;4;1179;;140;0,99;8,001;8,991;-1;1;2010;04/01/2010;6
15276;2573;3;1180;;1,5;0,82;179;179,82;-1;1;2010;04/01/2010;4
15277;2575;3;1180;;1,5;0,9;99;99,9;-1;1;2010;04/01/2010;4
15278;2573;4;1181;;1,35;129;0;129;-1;1;2010;18/01/2010;6
15279;2574;4;1181;;1,35;199;0;199;-1;1;2010;18/01/2010;6
15280;2575;4;1181;;1,35;499;0;499;-1;1;2010;18/01/2010;6
15281;2587;4;1181;;3,5;89;0;89;-1;1;2010;18/01/2010;6
15282;4662;4;1181;;6,85;20;0;20;-1;1;2010;18/01/2010;6
15283;3037;4;1182;;140;8;0,001;8,001;-1;1;2010;20/01/2010;5
15284;5534;6;;1238;19;290;290;0;0;2;2010;04/02/2010;
15285;5535;6;;1238;240;6;6;0;0;2;2010;04/02/2010;
15286;5534;6;1183;;19;290;0;290;-1;2;2010;04/02/2010;7
15287;5535;6;1183;;240;6;0;6;-1;2;2010;04/02/2010;7
15288;5575;1;;1239;1,99;50;50;0;0;2;2010;08/02/2010;
