ID_NOTA;ID_FOR;ID_SEC;NUM_NOTA;VALOR_NOTA;QTD_ITEM;ICMS;ISS;ANO;MES;DATA_NOTA;ID_TIPO_NOTA;OBSERVACAO_NOTA;EMPENHO_NUM
1231;162;1;000000;R$ 21,00;0;0;;2009;12;31/12/2009;1;REGISTRO DO SALDO DO ANO COMPETÊNCIA ANTERIOR A 2010;0
1232;164;3;000000;R$ 5.170,66;0;0;;2009;12;31/12/2009;1;REGISTRO DO SALDO DO ANO COMPETÊNCIA ANTERIOR A 2010;0
1233;165;4;000000;R$ 5.214,56;0;0;;2009;12;31/12/2009;1;REGISTRO DO SALDO DO ANO COMPETÊNCIA ANTERIOR A 2010;0
1234;122;6;001317;R$ 112,50;1;0;0;2010;1;21/01/2010;1;;0
1235;122;6;001316;R$ 231,00;1;0;0;2010;1;21/01/2010;1;;0
1236;46;4;007927;R$ 97,00;2;0;0;2010;1;26/01/2010;1;;0
1237;121;3;026420;R$ 660,74;8;0;0;2010;1;28/01/2010;1;;0
1238;22;6;000927;R$ 6.950,00;2;0;0;2010;2;04/02/2010;1;;0
1239;6;1;000795;R$ 379,60;5;0;0;2010;2;08/02/2010;1;;0
1240;168;5;151845;R$ 45,00;1;0;0;2010;2;22/02/2010;1;;0
1241;168;3;000297;R$ 55,20;1;0;0;2010;2;08/02/2010;1;;0
1242;22;4;000931;R$ 558,80;17;0;0;2010;2;19/02/2010;1;;0
1243;140;3;000004;R$ 161,67;1;0;0;2010;2;01/02/2010;1;;0
1244;133;3;000566;R$ 17.892,50;1;0;0;2010;2;09/02/2010;1;;0
1245;124;3;004577;R$ 800,00;1;0;0;2010;2;05/02/2010;1;;0
1246;10;3;002133;R$ 560,00;1;0;0;2010;2;24/02/2010;1;;0
1247;22;3;000928;R$ 219,25;13;0;0;2010;2;19/02/2010;1;;0
1248;97;3;002595;R$ 846,06;14;0;0;2010;2;05/02/2010;1;;0
1249;97;3;002600;R$ 7.147,90;51;0;0;2010;2;05/02/2010;1;;0
1250;169;4;000332;R$ 528,29;13;0;0;2010;2;17/02/2010;1;;0
1251;22;6;000929;R$ 293,30;8;0;0;2010;2;19/02/2010;1;;0
1252;121;6;027858;R$ 338,00;2;0;0;2010;2;05/02/2010;1;;0
1253;170;5;000627;R$ 1.005,00;4;0;0;2010;3;01/03/2010;1;;0
1254;171;5;000125;R$ 2.500,00;6;0;0;2010;3;30/03/2010;1;;0
1255;10;6;002143;R$ 2.189,00;4;0;0;2010;3;03/03/2010;1;;0
1256;134;6;000009;R$ 501,00;5;0;0;2010;3;03/03/2010;1;;0
1257;121;6;033705;R$ 195,50;3;0;0;2010;3;10/03/2010;1;;0
1258;172;6;292265;R$ 1.650,00;1;0;0;2010;3;04/03/2010;1;;0
1259;121;6;033243;R$ 4.771,82;15;0;0;2010;3;08/03/2010;1;;0
1260;140;4;000005;R$ 35,00;2;0;0;2010;3;04/03/2010;1;;0
1261;46;4;008050;R$ 100,00;2;0;0;2010;3;03/03/2010;1;;0
1262;126;1;002629;R$ 308,00;2;0;0;2010;3;01/03/2010;1;;0
1263;173;1;152449;R$ 1.285,95;18;0;0;2010;3;22/03/2010;1;;0
1264;126;4;002628;R$ 1.108,00;3;0;0;2010;3;01/03/2010;1;;0
1265;129;4;000007;R$ 2.013,30;12;0;0;2010;3;02/03/2010;1;;0
1266;136;4;001231;R$ 3.744,20;14;0;0;2010;3;08/03/2010;1;;0
1267;136;4;001232;R$ 1.739,30;10;0;0;2010;3;08/03/2010;1;;0
1268;136;3;001230;R$ 2.431,20;6;0;0;2010;3;08/03/2010;1;;0
1269;10;3;002152;R$ 280,00;1;0;0;2010;3;25/03/2010;1;;0
1270;129;3;000005;R$ 5.956,65;18;0;0;2010;3;02/03/2010;1;;0
1271;46;4;008348;R$ 1.218,00;13;0;0;2010;4;30/04/2010;1;;0
1272;46;4;008347;R$ 375,00;1;0;0;2010;4;30/04/2010;1;;0
1273;128;4;000120;R$ 180,00;6;0;0;2010;4;20/04/2010;1;;0
