ID_PRO;ID_CLAS;ID_UN_MED;DESCRICAO;OBSERVACAO;ESTOQUE_MIN;PERECIVEL;QTD_EMBALAGEM
1;46;1;CARTUCHO HP 640 SERIES COLOR;;1;0;1
2;23;1;BOBINA PARA CALCULADORA 1 VIA;;1;-1;1
3;13;1;BORRACHA 2 CORES;;1;-1;1
4;100;13;BORRACHA PARA DINHEIRO;;5;0;1
5;11;1;CANETA DE TINTA AZUL;;100;-1;1
6;3;2;CLIPS Nº 2;;5;-1;100
7;13;1;CORRETIVO LÍQUIDO;;12;0;1
8;57;2;DISQUETE 3/½ 144 MB;;5;-1;1
9;38;1;ENVELOPE COMERCIAL 114X162;;100;-1;1
10;38;1;ENVELOPE SACO 200X280;;100;-1;1
11;38;1;ENVELOPE SACO 240X340;;100;-1;1
12;38;1;ENVELOPE SACO 260X360;;100;-1;1
13;24;2;ETIQUETA 23X72 COM 8 UNIDADES;;5;-1;1
14;24;2;ETIQUETA 32X72 COM 6 UNIDADES;;5;-1;1
15;2;1;LIVRO DE PROTOCOLO;;5;-1;1
16;12;1;APONTADOR;;10;-1;24
17;22;8;PAPEL A4;;20;-1;1
18;22;8;PAPEL A2;;20;-1;1
19;39;1;PERFURADOR 40 FLS;;5;-1;1
20;43;1;TESOURA 21 CENTÍMETROS;;5;-1;1
21;101;13;COPO DESCARTÁVEL 200 ML;;25;-1;100
22;101;13;COPO DESCARTÁVEL 50 ML;;50;-1;100
23;102;13;GUARDANAPO 30X33;;50;-1;30
24;38;1;ENVELOPE SACO 229 X 324;;50;-1;1
25;38;1;ENVELOPE 162X229;;50;-1;1
26;3;2;GRAMPO 23/24 C/1000;;5;-1;1
27;12;1;LÁPIS GRAFITE;;100;-1;1
28;12;1;LAPISEIRA 0,9 MM;;10;-1;1
29;39;1;PERFURADOR 35 FLS;;5;-1;1
30;18;1;PORTA DISQUETE C/40 UND C/ CHAVE;;2;-1;1
31;103;1;MOUSE PAD;;5;-1;1
32;37;1;ARQUIVO MORTO POLIONDA;;200;-1;1
33;26;19;BLOCO ADESIVO P/ REACDO PAUTADO;;20;-1;1
34;13;1;BORRACHA BRANCA;;20;-1;1
35;104;1;CALCULADORA 12 DIGITOS;;5;-1;1
36;28;9;CARBONO COMUM;;100;-1;1
37;28;1;CARBONO FILME;;100;-1;1
38;3;2;CLIPS Nº 3;;15;-1;1
39;105;1;COLA BASTÃO;;10;0;1
40;32;1;COLA BRANCA 90G;;15;0;1
41;40;1;ESTILETE LÂMINA ESTREITA;;10;-1;1
42;40;1;ESTILETE LÂMINA LARGA;;10;-1;1
43;24;2;ETIQUETA 55 X 8 CM;;5;-1;1
44;39;1;EXTRATOR DE GRAMPO;;10;-1;1
45;31;1;FITA ADESIVA TRANSPARENTE 45X50;;15;-1;1
46;39;1;GRAMPEADOR 60 FLS;;5;-1;1
47;3;2;GRAMPO 26/6;;10;-1;1
48;40;2;LÂMINA P/ ESTILETE ESTREITO;;5;-1;1
49;13;1;LÁPIS BORRACHA;;12;-1;1
