ID_REQ;ID_CLI;TOTAL_REQ;QTD_ITEN;DATA_REQ;ANO;MES;ID_SEC;ID_SET;OBSERVACAO
1173;12;R$ 112,50;1;21/01/2010;2010;1;6;7;
1174;12;R$ 231,00;1;21/01/2010;2010;1;6;7;
1175;10;R$ 97,00;2;26/01/2010;2010;1;4;5;
1176;13;R$ 660,74;8;28/01/2010;2010;1;3;4;
1177;1;R$ 31,50;1;12/01/2010;2010;1;1;1;
1178;10;R$ 1,17;1;04/01/2010;2010;1;4;6;
1179;10;R$ 143,54;4;04/01/2010;2010;1;4;6;
1180;13;R$ 2,58;2;04/01/2010;2010;1;3;4;
1181;10;R$ 1.564,95;5;18/01/2010;2010;1;4;6;
1182;10;R$ 1.120,00;1;20/01/2010;2010;1;4;5;
1183;12;R$ 6.950,00;2;04/02/2010;2010;2;6;7;
1184;1;R$ 379,60;5;08/02/2010;2010;2;1;1;
1185;5;R$ 45,00;1;22/02/2010;2010;2;5;8;
1186;13;R$ 55,20;1;08/02/2010;2010;2;3;4;
1187;10;R$ 558,80;17;19/02/2010;2010;2;4;5;
1188;13;R$ 161,67;1;23/02/2010;2010;2;3;4;
1189;13;R$ 17.892,50;1;08/02/2010;2010;2;3;4;
1190;13;R$ 800,00;1;05/02/2010;2010;2;3;4;
1191;13;R$ 560,00;1;24/02/2010;2010;2;3;4;
1192;13;R$ 219,25;13;19/02/2010;2010;2;3;4;
1193;13;R$ 846,06;14;05/02/2010;2010;2;3;4;
1194;13;R$ 7.147,90;51;05/02/2010;2010;2;3;4;
1195;10;R$ 528,29;13;17/02/2010;2010;2;4;5;
1196;12;R$ 338,00;2;05/02/2010;2010;2;6;7;
1197;12;R$ 293,30;8;19/02/2010;2010;2;6;7;
1198;10;R$ 954,00;1;18/02/2010;2010;2;4;5;
1199;10;R$ 0,14;1;22/02/2010;2010;2;4;5;
1200;13;R$ 2.391,82;11;22/02/2010;2010;2;3;4;
1201;10;R$ 1.431,00;1;17/03/2010;2010;3;4;5;
1202;5;R$ 1.005,00;4;01/03/2010;2010;3;5;8;
1203;5;R$ 2.500,00;6;30/03/2010;2010;3;5;8;
1204;12;R$ 2.189,00;4;03/03/2010;2010;3;6;7;
1205;12;R$ 501,00;5;03/03/2010;2010;3;6;7;
1206;12;R$ 195,50;3;10/03/2010;2010;3;6;7;
1207;12;R$ 1.650,00;1;04/03/2010;2010;3;6;7;
1208;12;R$ 4.771,82;15;08/03/2010;2010;3;6;7;
1209;10;R$ 35,00;2;04/03/2010;2010;3;4;5;
1210;10;R$ 100,00;2;03/03/2010;2010;3;4;5;
1211;1;R$ 308,00;2;01/03/2010;2010;3;1;1;
1212;1;R$ 1.285,95;18;22/03/2010;2010;3;1;1;
1213;10;R$ 1.108,00;3;01/03/2010;2010;3;4;5;
1214;10;R$ 2.013,30;12;02/03/2010;2010;3;4;6;
1215;10;R$ 3.744,20;14;08/03/2010;2010;3;4;6;
1216;10;R$ 1.739,30;10;08/03/2010;2010;3;4;6;
1217;13;R$ 2.431,20;6;09/03/2010;2010;3;3;4;
1218;13;R$ 280,00;1;25/03/2010;2010;3;3;4;
1219;13;R$ 2.641,00;13;15/03/2010;2010;3;3;4;
1220;13;R$ 2.886,50;16;22/03/2010;2010;3;3;4;
1221;10;R$ 1.218,00;13;30/04/2010;2010;4;4;5;
1222;10;R$ 375,00;1;30/04/2010;2010;4;4;5;
1223;10;R$ 180,00;6;20/04/2010;2010;4;4;5;
1224;10;R$ 502,50;16;08/04/2010;2010;4;4;5;
1225;10;R$ 139,90;5;08/04/2010;2010;4;4;5;
1226;10;R$ 440,00;1;08/04/2010;2010;4;4;5;
1227;12;R$ 72,00;6;20/04/2010;2010;4;6;7;
1228;12;R$ 704,00;1;14/04/2010;2010;4;6;7;
1229;10;R$ 1.846,00;5;14/04/2010;2010;4;4;6;
1230;10;R$ 4.437,40;14;14/04/2010;2010;4;4;6;
1231;10;R$ 1.490,00;1;05/04/2010;2010;4;4;5;
1232;1;R$ 54,00;1;04/04/2010;2010;4;1;1;
1233;1;R$ 1.490,00;1;05/04/2010;2010;4;1;1;
1234;1;R$ 120,00;1;08/04/2010;2010;4;1;1;
1235;12;R$ 80,00;1;08/04/2010;2010;4;6;7;
1236;12;R$ 377,10;2;09/04/2010;2010;4;6;7;
1237;12;R$ 264,00;4;08/04/2010;2010;4;6;7;
1238;13;R$ 270,00;1;08/04/2010;2010;4;3;4;
1239;13;R$ 137,00;9;08/04/2010;2010;4;3;4;
1240;13;R$ 741,20;17;13/04/2010;2010;4;3;4;
1241;13;R$ 320,00;1;13/04/2010;2010;4;3;4;
1242;13;R$ 3.357,50;1;29/04/2010;2010;4;3;4;
1243;13;R$ 480,00;5;27/04/2010;2010;4;3;4;
1244;13;R$ 137,00;5;13/04/2010;2010;4;3;4;
1245;13;R$ 1.675,15;11;05/04/2010;2010;4;3;4;
1246;13;R$ 3.671,50;11;12/04/2010;2010;4;3;4;
1247;13;R$ 2.008,70;11;19/04/2010;2010;4;3;4;
1248;13;R$ 4.148,90;15;26/04/2010;2010;4;3;4;
1249;13;R$ 2.999,10;10;30/04/2010;2010;4;3;4;
1250;10;R$ 788,15;24;26/05/2010;2010;5;4;5;
1251;10;R$ 971,75;27;26/05/2010;2010;5;4;5;
1252;10;R$ 148,00;5;27/05/2010;2010;5;4;5;
1253;10;R$ 407,15;6;12/05/2010;2010;5;4;5;
1254;10;R$ 1.398,20;8;12/05/2010;2010;5;4;5;
1255;10;R$ 2.942,00;11;07/05/2010;2010;5;4;6;
1256;10;R$ 1.358,26;6;21/05/2010;2010;5;4;5;
1257;10;R$ 180,00;1;24/05/2010;2010;5;4;5;
1258;10;R$ 476,07;2;07/05/2010;2010;5;4;5;
1259;13;R$ 868,80;7;06/05/2010;2010;5;3;4;
1260;12;R$ 128,50;10;26/05/2010;2010;5;6;7;
1261;12;R$ 1.417,20;4;20/05/2010;2010;5;6;7;
1262;12;R$ 411,80;4;06/05/2010;2010;5;6;7;
1263;10;R$ 1.246,40;8;06/05/2010;2010;5;4;5;
1264;1;R$ 195,00;3;25/05/2010;2010;5;1;1;
1265;13;R$ 2.571,95;13;03/05/2010;2010;5;3;4;
1266;13;R$ 3.740,31;13;10/05/2010;2010;5;3;4;
1267;13;R$ 666,70;3;17/05/2010;2010;5;3;4;
1268;13;R$ 3.398,70;14;25/05/2010;2010;5;3;4;
1269;13;R$ 1.629,10;9;31/05/2010;2010;5;3;4;
1270;10;R$ 200,00;1;17/06/2010;2010;6;4;5;
1271;10;R$ 560,00;3;28/06/2010;2010;6;4;5;
1272;10;R$ 38,50;1;22/06/2010;2010;6;4;5;
1273;10;R$ 75,00;1;22/06/2010;2010;6;4;5;
1274;10;R$ 104,00;3;22/06/2010;2010;6;4;5;
1275;10;R$ 118,50;7;07/06/2010;2010;6;4;5;
1276;10;R$ 743,88;13;04/06/2010;2010;6;4;5;
1277;10;R$ 630,00;1;14/06/2010;2010;6;4;5;
1278;10;R$ 732,00;1;14/06/2010;2010;6;4;5;
1279;10;R$ 4.123,40;14;02/06/2010;2010;6;4;6;
1280;10;R$ 4.123,40;14;18/06/2010;2010;6;4;6;
1281;12;R$ 80,00;1;17/06/2010;2010;6;6;7;
1282;12;R$ 297,00;6;10/06/2010;2010;6;6;7;
1283;12;R$ 3.110,00;3;28/06/2010;2010;6;6;7;
1284;12;R$ 143,50;17;22/06/2010;2010;6;6;7;
1285;12;R$ 53,00;2;22/06/2010;2010;6;6;7;
1286;12;R$ 201,00;4;04/06/2010;2010;6;6;7;
1287;12;R$ 746,16;5;10/06/2010;2010;6;6;7;
1288;13;R$ 466,00;2;04/06/2010;2010;6;3;4;
1289;13;R$ 183,00;4;07/06/2010;2010;6;3;4;
1290;13;R$ 176,35;11;04/06/2010;2010;6;3;4;
1291;13;R$ 670,60;10;11/06/2010;2010;6;3;4;
1292;13;R$ 1.000,00;1;11/06/2010;2010;6;3;4;
1293;1;R$ 80,00;1;17/06/2010;2010;6;1;1;
1294;1;R$ 1.746,75;33;09/06/2010;2010;6;1;1;
1295;13;R$ 2.157,84;6;02/06/2010;2010;6;3;4;
1296;13;R$ 1.610,00;2;18/06/2010;2010;6;3;4;
1297;12;R$ 466,00;2;30/06/2010;2010;6;6;7;
1298;13;R$ 4.448,56;17;07/06/2010;2010;6;3;4;
1299;13;R$ 2.679,14;15;14/06/2010;2010;6;3;4;
1300;13;R$ 3.046,30;12;21/06/2010;2010;6;3;4;
1301;13;R$ 289,50;1;22/06/2010;2010;6;3;4;
1302;13;R$ 360,00;1;11/06/2010;2010;6;3;4;
1303;13;R$ 300,00;1;02/06/2010;2010;6;3;4;
1304;13;R$ 160,00;1;18/06/2010;2010;6;3;4;
1305;10;R$ 3.666,00;14;20/07/2010;2010;7;4;6;
1306;10;R$ 1.305,66;8;02/07/2010;2010;7;4;5;
1307;10;R$ 347,90;11;28/07/2010;2010;7;4;5;
1308;12;R$ 185,85;1;05/07/2010;2010;7;6;7;
